Time_s,GT_Amplitude,Measured_Amplitude,Frequency_Hz,GT_PSD_dBHz,Measured_PSD_dBHz
0.186,-0.0242377469947381,-0.615433858355065,90.8203125,-54.409760863105,-63.8512737949762
0.187,-0.0267589031842026,-0.429688361614885,91.30859375,-54.9329749400899,-65.6180714520407
0.188,-0.0294351659397377,-0.191517789918254,91.796875,-53.9438321726867,-66.5986852269899
0.189,-0.0285348087996386,0.0603410542059084,92.28515625,-54.7644388241018,-65.6804511610209
0.19,-0.0214455119883398,0.278738712364997,92.7734375,-55.3539679629269,-64.8992385847492
0.191,-0.00791650187046798,0.420593469210087,93.26171875,-54.9319775579998,-64.7437931561676
0.192,0.0096534774338544,0.458622864628073,93.75,-57.0869591077484,-67.0914830698112
0.193,0.0269813087737591,0.388427525453113,94.23828125,-56.7642907479812,-68.9307185514537
0.194,0.0393747460256033,0.229737632910125,94.7265625,-53.9926341261443,-67.9431665632312
0.195,0.0433180274464744,0.0226227023539141,95.21484375,-53.2015889646271,-67.739893886128
0.196,0.0376064310189319,-0.180258363554194,95.703125,-53.0986772476897,-66.4630821477983
0.197,0.0237158531940555,-0.324739755179228,96.19140625,-53.6100477654487,-65.540523990684
0.198,0.00536409094295966,-0.368556371485676,96.6796875,-53.7678229865357,-64.8219911625058
0.199,-0.0125931617655525,-0.294376586924478,97.16796875,-55.3372516066885,-65.3155930438889
0.2,-0.0256521802420479,-0.117910268432448,97.65625,-57.0720492168607,-66.8729012306992
0.201,-0.0311080416012528,0.113480163969835,98.14453125,-58.2341251798465,-68.3047672203007
0.202,-0.0289232935771952,0.333316280889612,98.6328125,-58.4585775465214,-66.465119927585
0.203,-0.021589633416336,0.476519496035647,99.12109375,-58.3839745664411,-67.7824457647163
0.204,-0.0129549419499405,0.500786619776834,99.609375,-57.8895832515397,-67.013432227663
0.205,-0.00650292857869935,0.40102166327768,100.09765625,-55.2397206199784,-65.8200509742141
0.206,-0.00386330080747935,0.211753754761845,100.5859375,-52.1241089716336,-64.6378617820549
0.207,-0.00420732890446117,-0.00326078396140526,101.07421875,-51.1385634341234,-64.6600238103196
0.208,-0.0047529771069721,-0.171133872104186,101.5625,-52.2982743047538,-64.5956362083403
0.209,-0.00212365217932914,-0.233576010734913,102.05078125,-54.5603621492944,-66.5371294886845
0.21,0.00602231304148604,-0.16655372541535,102.5390625,-56.2526325437712,-67.7327887581171
0.211,0.0197651351140415,0.0111392673102492,103.02734375,-57.5811130978633,-69.3358966085893
0.212,0.0366199582939319,0.243682259890969,103.515625,-56.6322756903904,-70.9836029465889
0.213,0.0523153088655134,0.456199102906338,104.00390625,-53.4447657431232,-69.850300289188
0.214,0.0623545615345475,0.578289038215036,104.4921875,-52.4902224341099,-68.3437220825926
0.215,0.0636989079486365,0.565280844660346,104.98046875,-54.5552543406466,-69.0633960569985
0.216,0.0558385998835327,0.41112274118411,105.46875,-57.5147735007116,-71.7696637241676
0.217,0.0407955816989424,0.149775899504775,105.95703125,-57.5540449408249,-71.512991759096
0.218,0.022088692518537,-0.155124156493402,106.4453125,-53.6990112931338,-70.858445105927
0.219,0.00315309968908535,-0.429738679827091,106.93359375,-53.1036747694987,-70.4786903843066
0.22,-0.014060823260706,-0.613085327663229,107.421875,-54.3431842494024,-70.7045275791374
0.221,-0.0296575178934141,-0.676009910884903,107.91015625,-56.0541761223849,-73.3286941199276
0.222,-0.0452321954414937,-0.628872125606606,108.3984375,-57.4906822281287,-75.5251185962452
0.223,-0.0623869418454336,-0.514729356478263,108.88671875,-58.0953555451186,-77.7156348106341
0.224,-0.081042633509218,-0.390794649597809,109.375,-58.5034259455017,-77.8693616165729
0.225,-0.0984788653563181,-0.305825812011947,109.86328125,-58.946394296256,-76.5655104240651
0.226,-0.109748575660316,-0.282449572375319,110.3515625,-58.4150953263083,-76.9000360232617
0.227,-0.109409487751844,-0.310986042555986,110.83984375,-58.0219073108915,-78.6011255358121
0.228,-0.0938113078268741,-0.356547940551483,111.328125,-58.9916514509675,-80.6823566573026
0.229,-0.0629112545878006,-0.37588901660863,111.81640625,-58.0413332865646,-80.463839195009
0.23,-0.0208593562129888,-0.336468257531553,112.3046875,-56.571749035982,-78.8068566858585
0.231,0.0248507287877623,-0.229274105295436,112.79296875,-56.8386702220411,-76.9143434058467
0.232,0.0653538014055575,-0.0700117740701181,113.28125,-56.6803308949266,-77.1996624159113
0.233,0.09287908342858,0.110916960921336,113.76953125,-56.206042426336,-79.8891980524941
0.234,0.102954878111078,0.28364733730436,114.2578125,-58.0732572707842,-84.4340634850231
