Time_s,GT_Amplitude,Measured_Amplitude,Frequency_Hz,GT_PSD_dBHz,Measured_PSD_dBHz
0.205,-2.78265822895523,0.128568825385867,25.0244140625,-50.6896930254409,-60.9052178178614
0.206,-3.34039241541972,0.0409900199258747,25.146484375,-49.4293030145307,-59.6920790154451
0.207,-3.81119801129581,-0.0684145854710159,25.2685546875,-50.017888569771,-60.3177430987344
0.208,-4.16058111441239,-0.191261014820515,25.390625,-51.0707107554991,-60.5211493597755
0.209,-4.36476432167846,-0.318037876534766,25.5126953125,-49.9622352943533,-58.6453440554608
0.21,-4.41251800778819,-0.43872949156252,25.634765625,-50.258085060308,-59.8580395827822
0.211,-4.30584286416583,-0.543646294848887,25.7568359375,-48.7355516896541,-58.3843409777581
0.212,-4.05946292089745,-0.624397474486547,25.87890625,-47.9347802013787,-56.4368955795354
0.213,-3.69919892179841,-0.674862720465419,26.0009765625,-48.6248825728876,-57.2497880760487
0.214,-3.25939557837609,-0.691980632054956,26.123046875,-53.3078960783283,-60.3168605516123
0.215,-2.77966187257772,-0.676181134727599,26.2451171875,-51.4858585800743,-59.5995062471425
0.216,-2.30124234193062,-0.631344876698524,26.3671875,-48.2103151560704,-57.3215452293517
0.217,-1.86336313725413,-0.56426163505296,26.4892578125,-47.0934632104664,-56.1763681935437
0.218,-1.49988720605731,-0.483661682626688,26.611328125,-48.0927218727257,-57.4774769455159
0.219,-1.23657053910499,-0.398985327359015,26.7333984375,-47.8576276287356,-59.9922670141178
0.22,-1.08914319557841,-0.319114890320426,26.85546875,-50.2122016437707,-58.9883476143667
0.221,-1.06235481054175,-0.25130092904109,26.9775390625,-50.2912892067086,-59.1971759344985
0.222,-1.15003404322597,-0.200460569118472,27.099609375,-50.3888118885874,-59.1843718032428
0.223,-1.33612202484634,-0.168924038900075,27.2216796875,-48.4072748598254,-56.4999582213264
0.224,-1.59655646372164,-0.156593394162513,27.34375,-46.3158648736227,-55.3255590806025
