,,,,,,50-70,,70-90,,90-110,,110-130,
ECG RR interval,BCG RR interval,,Mean interval,Difference,,Accuracy,PCC,Accuracy,PCC,Accuracy,PCC,Accuracy,PCC
1.15,1.145,,1.1475,0.005,,,,,,,,,
1.134,1.14,,1.137,-0.006,,,,,,,,,
1.132,1.1,,1.116,0.032,,,,,,,,,
0.89,0.895,,0.8925,-0.005,,,,,,,,,
1.182,1.175,,1.1785,0.007,,,,,,,,,
1.182,1.2,,1.191,-0.018,,,,,,,,,
1.164,1.17,,1.167,-0.006,,,,,,,,,
1.144,1.175,,1.1595,-0.031,,,,,,,,,
1.106,1.11,,1.108,-0.004,,,,,,,,,
1.026,1.075,,1.0505,-0.049,,,,,,,,,
1.048,1.03,,1.039,0.018,,,,,,,,,
1.05,1.045,,1.0475,0.005,,,,,,,,,
1.028,1.06,,1.044,-0.032,,,,,,,,,
1.082,1.085,,1.0835,-0.003,,,,,,,,,
1.124,1.145,,1.1345,-0.021,,,,,,,,,
1.186,1.175,,1.1805,0.011,,,,,,,,,
1.144,1.17,,1.157,-0.026,,,,,,,,,
1.164,1.17,,1.167,-0.006,,,,,,,,,
1.162,1.175,,1.1685,-0.013,,,,,,,,,
1.182,1.2,,1.191,-0.018,,,,,,,,,
1.182,1.2,,1.191,-0.018,,,,,,,,,
1.164,1.175,,1.1695,-0.011,,,,,,,,,
1.146,1.16,,1.153,-0.014,,,,,,,,,
1.162,1.18,,1.171,-0.018,,,,,,,,,
1.202,1.2,,1.201,0.002,,,,,,,,,
1.182,1.215,,1.1985,-0.033,,,,,,,,,
1.204,1.21,,1.207,-0.006,,,,,,,,,
1.22,1.235,,1.2275,-0.015,,,,,,,,,
1.164,1.175,,1.1695,-0.011,,,,,,,,,
1.164,1.175,,1.1695,-0.011,,,,,,,,,
1.142,1.16,,1.151,-0.018,,,,,,,,,
1.148,1.145,,1.1465,0.003,,,,,,,,,
1.086,1.105,,1.0955,-0.019,,,,,,,,,
1.106,1.115,,1.1105,-0.009,,,,,,,,,
1.084,1.115,,1.0995,-0.031,,,,,,,,,
1.026,0.93,,0.978,0.096,,,,,,,,,
1.084,1.105,,1.0945,-0.021,,,,,,,,,
1.168,1.145,,1.1565,0.023,,,,,,,,,
1.2,1.18,,1.19,0.02,,,,,,,,,
1.206,1.215,,1.2105,-0.009,,,,,,,,,
1.244,1.225,,1.2345,0.019,,,,,,,,,
1.26,1.25,,1.255,0.01,,,,,,,,,
1.24,1.235,,1.2375,0.005,,,,,,,,,
1.226,1.235,,1.2305,-0.009,,,,,,,,,
1.28,1.26,,1.27,0.02,,,,,,,,,
1.186,1.195,,1.1905,-0.009,,,,,,,,,
1.204,1.18,,1.192,0.024,,,,,,,,,
1.226,1.21,,1.218,0.016,,,,,,,,,
1.22,1.23,,1.225,-0.01,,,,,,,,,
1.246,1.22,,1.233,0.026,,,,,,,,,
1.162,1.18,,1.171,-0.018,,,,,,,,,
1.204,1.17,,1.187,0.034,,,,,,,,,
1.164,1.16,,1.162,0.004,,,,,,,,,
1.204,1.19,,1.197,0.014,,,,,,,,,
1.204,1.19,,1.197,0.014,,,,,,,,,
1.142,1.175,,1.1585,-0.033,,,,,,,,,
1.126,1.1,,1.113,0.026,,,,,,,,,
1.102,1.095,,1.0985,0.007,,,,,,,,,
1.144,1.135,,1.1395,0.009,,,,,,,,,
1.188,1.175,,1.1815,0.013,,,,,,,,,
1.162,1.165,,1.1635,-0.003,,,,,,,,,
1.122,1.14,,1.131,-0.018,,,,,,,,,
1.126,1.09,,1.108,0.036,,,,,,,,,
1.124,1.12,,1.122,0.004,,,,,,,,,
1.144,1.12,,1.132,0.024,,,,,,,,,
1.048,1.04,,1.044,0.008,,,,,,,,,
1.066,1.045,,1.0555,0.021,,,,,,,,,
1.05,1.05,,1.05,0,,,,,,,,,
1.066,1.045,,1.0555,0.021,,,,,,,,,
1.05,1.06,,1.055,-0.01,,,,,,,,,
1.068,1.05,,1.059,0.018,,,,,,,,,
1.108,1.105,,1.1065,0.003,,,,,,,,,
1.188,1.16,,1.174,0.028,,,,,,,,,
1.184,1.18,,1.182,0.004,,,,,,,,,
