Time_s,Ground_Truth_Amplitude,Measured_Amplitude,Frequency_Hz,Measured_PSD_dBHz,Ground_Truth_PSD_dBHz
0.263,0.44599949465757,0.616861111905778,128.41796875,-77.6413819910187,-77.2808947511088
0.264,0.425275430602483,0.623160861671664,128.90625,-76.1369371669252,-76.303444235491
0.265,0.415330467930743,0.629614513723447,129.39453125,-80.349486451934,-76.7019353470273
0.266,0.44204487573685,0.636216363773012,129.8828125,-95.4250765377112,-79.4649148104294
0.267,0.454052831984933,0.642960269767726,130.37109375,-78.5428329766437,-78.5948127298201
0.268,0.464953028836627,0.649839669083415,130.859375,-76.1575571431852,-76.3926481122671
0.269,0.464161126492397,0.656847597592847,131.34765625,-79.3034481121042,-73.7289262334002
0.27,0.46737950532416,0.663976710484253,131.8359375,-103.829540538977,-75.8706954136916
0.271,0.467338393258657,0.671219304693701,132.32421875,-79.6492360488669,-81.4018741294925
0.272,0.47014139456059,0.678567342809095,132.8125,-76.2944859381098,-76.4046995864684
0.273,0.490108336545193,0.686012478300399,133.30078125,-78.4988449000057,-75.648130443986
0.274,0.5026359805771,0.693546081927432,133.7890625,-93.585455573348,-75.9666651462637
0.275,0.510559081890377,0.701159269171308,134.27734375,-81.0137636177286,-76.5499713870776
0.276,0.52067562458053,0.708842928527365,134.765625,-76.5482110639327,-75.8362401374238
0.277,0.537786372042847,0.716587750486727,135.25390625,-77.8887241059989,-73.1445961062413
0.278,0.54624629637343,0.724384257022771,135.7421875,-88.5262622684752,-74.9150563522821
0.279,0.547892770724623,0.732222831391669,136.23046875,-82.7237477904423,-77.1191258873197
0.28,0.572171701838447,0.740093748056156,136.71875,-76.9225379783427,-76.009630070006
0.281,0.570560908291507,0.747987202549546,137.20703125,-77.4426272686168,-76.9420544444929
0.282,0.589846742672303,0.75589334111005,137.6953125,-85.4629592291583,-75.5694645357251
0.283,0.616024082478047,0.763802289929462,138.18359375,-84.9354465732413,-75.5634417006078
0.284,0.614848326035343,0.771704183871836,138.671875,-77.4250212816318,-74.6941714868656
0.285,0.63598113579161,0.779589194526379,139.16015625,-77.1403388289862,-78.757145212578
0.286,0.651680622376337,0.787447557465559,139.6484375,-83.3366409040913,-76.6595693780405
0.287,0.645167399314217,0.795269598586249,140.13671875,-87.9687195035038,-75.8363412719096
0.288,0.664274023036073,0.803045759419627,140.625,-78.0678886284299,-77.0463073511424
0.289,0.663469668591717,0.810766621305119,141.11328125,-76.9685075090566,-75.9333936169548
0.29,0.659983998172416,0.818422928335356,141.6015625,-81.7629803655514,-75.7487845672728
0.291,0.666162975373863,0.82600560899287,142.08984375,-92.6448390520994,-74.7338160824082
0.292,0.68711353902791,0.83350579641416,142.578125,-78.8697160335249,-76.5603128576099
0.293,0.659281031805843,0.840914847230632,143.06640625,-76.9187468392286,-74.0376547839521
0.294,0.68523096430419,0.848224358947956,143.5546875,-80.5615922188884,-76.5329081214112
0.295,0.687642565419987,0.855426185836179,144.04296875,-101.897332956874,-76.2909501411667
0.296,0.681722927853443,0.862512453314297,144.53125,-79.858397559368,-77.8902034740373
0.297,0.702777449806753,0.869475570825694,145.01953125,-76.986575085894,-77.2431606565345
0.298,0.729186062777517,0.876308243213752,145.5078125,-79.6341460752797,-77.5017595706634
0.299,0.730530017751413,0.883003480618235,145.99609375,-98.499030398587,-76.6056786901593
0.3,0.753530188582023,0.889554606921472,146.484375,-81.0765761481658,-75.7585691021511
0.301,0.760168956255566,0.895955266780204,146.97265625,-77.17088913462,-75.5732780268861
0.302,0.77158484135181,0.902199431285503,147.4609375,-78.9217521406364,-77.8803408188332
0.303,0.77862280042285,0.908281402299341,147.94921875,-91.3696757071593,-80.9102268462451
0.304,0.792924215182343,0.914195815520474,148.4375,-82.5922424728574,-79.0272118994044
0.305,0.817831909745933,0.91993764233226,148.92578125,-77.4738360675419,-73.7218034836556
0.306,0.80595262945791,0.925502190480301,149.4140625,-78.386954661664,-75.0525215298315
0.307,0.81503126597337,0.930885103619783,149.90234375,-87.5419899072753,-75.5391282925539
0.308,0.841644980134906,0.936082359763704,150.390625,-84.5215487264209,-78.2685653827874
0.309,0.819549876424917,0.941090268656534,150.87890625,-77.9010507959624,-76.5319676873549
0.31,0.84613909916952,0.945905468095385,151.3671875,-78.0050902638906,-74.7727987110178
0.311,0.82561675772009,0.950524919223596,151.85546875,-85.0182568906034,-75.4774706666553
0.312,0.85844296633501,0.95494590082877,152.34375,-87.0854223754076,-77.4149869737813
0.313,0.85733331276305,0.959166002686091,152.83203125,-78.4623187564833,-77.3384100281182
